site,target,metric,value,n
rosedene,nee,mae,1.6021478176116943,20968
rosedene,nee,rmse,2.3093886375427246,20968
rosedene,nee,bias,0.024509700015187263,20968
rosedene,nee,r2,0.4333345293998718,20968
rosedene,nee,mmd,0.1316590429263769,20968
rosedene,nee,kl,0.12700157736424197,20968
rosedene,nee,wasserstein,0.42315329018467185,20968
rosedene,nee_mean,mae,0.9055739045143127,20968
rosedene,nee_mean,rmse,1.7798374891281128,20968
rosedene,nee_mean,bias,0.021907132118940353,20968
rosedene,nee_mean,r2,0.6634160280227661,20968
rosedene,nee_mean,mmd,0.021174185651412623,20968
rosedene,nee_mean,kl,0.008301991730511642,20968
rosedene,nee_mean,wasserstein,0.026175727467934815,20968
rosedene,f,mae,0.030185796320438385,20968
rosedene,f,rmse,0.05932791903614998,20968
rosedene,f,bias,0.0007302378071472049,20968
rosedene,f,r2,5.310773849487305e-05,20968
rosedene,f,mmd,0.005382179610607569,20968
rosedene,f,kl,7.3312739209022615,20968
rosedene,f,wasserstein,0.02886375349261717,20968
